Pelanggan,x,y,qi,Ti,ei,li
0,40,50,0,0,0,240
1,25,85,20,10,49,191
2,22,75,30,10,30,168
3,22,85,10,10,95,152
4,20,80,40,10,69,193
5,20,85,20,10,40,189
6,18,75,20,10,60,159
7,15,75,20,10,54,133
8,15,80,10,10,67,144
9,10,35,20,10,57,154
10,10,40,30,10,106,161
11,8,40,40,10,33,152
12,8,45,20,10,32,148
13,5,35,10,10,53,191
14,5,45,10,10,35,194
15,2,40,20,10,39,163
16,0,40,20,10,41,141
17,0,45,20,10,51,189
18,44,5,20,10,73,130
19,42,10,40,10,40,148
20,42,15,10,10,94,179
21,40,5,10,10,45,161
22,40,15,40,10,64,149
23,38,5,30,10,45,164
24,38,15,10,10,51,194
25,35,5,20,10,45,183
26,95,30,30,10,90,169
27,95,35,20,10,57,172
28,92,30,10,10,55,174
29,90,35,10,10,52,174
30,88,30,10,10,52,147
31,88,35,20,10,50,172
32,87,30,10,10,61,178
33,85,25,10,10,51,178
34,85,35,30,10,83,168
35,67,85,20,10,57,185
36,65,85,40,10,43,186
37,65,82,10,10,95,182
38,62,80,30,10,38,141
39,60,80,10,10,36,193
40,60,85,30,10,61,138
41,58,75,20,10,49,164
42,55,80,10,10,33,180
43,55,85,20,10,100,185
44,55,82,10,10,35,142
45,20,82,10,10,37,192
46,18,80,10,10,71,184
47,2,45,10,10,38,191
48,42,5,10,10,50,184
49,42,12,10,10,99,138
50,72,35,30,10,83,178
