customer_id,open_date,gender,age,married,number_of_dependents,satisfaction_score,customer_status,cltv,number_of_referrals,tenure_in_months,offer,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,contract,payment_method,monthly_charge,total_revenue,churn_category,churn_date,churn_reason
7841-TZDMQ,2025-06-24,Male,19,No,0,3,Churned,2667,0,2,No Offer,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,46.0,184.12,Other,2025-08-29,Don't know
0822-GAVAP,2025-06-17,Female,19,No,0,1,Churned,3146,0,2,Offer E,No,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,34.7,62.25,Competitor,2025-08-17,Competitor made better offer
5673-FSSMF,2025-07-14,Female,19,No,0,3,Churned,4611,0,1,Offer E,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,60.15,113.63,Attitude,2025-08-17,Attitude of support person
4704-ERYFC,2023-10-11,Female,19,Yes,0,1,Churned,2159,1,22,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,69.25,2260.42,Competitor,2025-08-14,Competitor offered higher download speeds
4763-PGDPO,2025-04-05,Female,19,No,0,1,Churned,4494,0,4,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,70.4,515.48,Competitor,2025-08-06,Competitor had better devices
7963-GQRMY,2025-05-03,Female,19,Yes,0,2,Churned,4903,1,3,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,44.3,267.88,Price,2025-08-06,Extra data charges
7598-UAASY,2025-06-13,Male,19,Yes,0,1,Churned,4340,1,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Bank Withdrawal,76.4,192.8,Competitor,2025-08-14,Competitor had better devices
5624-BQSSA,2025-07-25,Female,19,No,0,1,Churned,4285,0,1,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.95,61.43,Price,2025-08-29,Long distance charges
0697-ZMSWS,2025-04-11,Male,19,No,0,1,Churned,2330,0,4,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,85.65,366.54,Dissatisfaction,2025-08-14,Limited range of services
3658-KIBGF,2025-07-08,Female,19,No,0,1,Churned,2833,0,1,No Offer,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,54.9,99.26,Dissatisfaction,2025-08-10,Network reliability
3656-TKRVZ,2025-05-22,Female,19,No,0,2,Churned,5787,0,3,No Offer,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,55.35,168.92,Competitor,2025-08-23,Competitor offered more data
1043-YCUTE,2020-12-06,Male,19,Yes,0,3,Churned,6484,1,56,Offer B,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,25.15,2066.35,Dissatisfaction,2025-08-07,Service dissatisfaction
5980-NOPLP,2021-12-21,Female,19,Yes,0,2,Churned,5606,4,44,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,96.1,4858.66,Competitor,2025-08-24,Competitor offered higher download speeds
2894-QOJRX,2023-07-13,Female,19,Yes,0,1,Churned,5024,1,25,Offer C,No,No,Yes,Cable,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,34.0,853.0,Competitor,2025-08-16,Competitor had better devices
6338-AVWCY,2025-05-14,Male,19,No,0,3,Churned,4710,0,3,No Offer,No,No,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-Month,Mailed Check,40.15,130.75,Competitor,2025-08-16,Competitor made better offer
5493-SDRDQ,2025-06-17,Male,19,No,0,1,Churned,4235,0,2,Offer E,Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,Month-to-Month,Mailed Check,55.1,124.01,Competitor,2025-08-18,Competitor made better offer
9259-PACGQ,2022-10-04,Female,19,Yes,0,1,Churned,3918,1,34,No Offer,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,No,No,Month-to-Month,Bank Withdrawal,62.65,3679.78,Competitor,2025-08-06,Competitor had better devices
6572-ADKRS,2021-10-03,Female,19,No,0,3,Stayed,3395,0,46,Offer B,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Credit Card,74.8,5500.54,,,
6380-ARCEH,2025-07-26,Male,19,No,0,3,Joined,2710,0,1,Offer E,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.2,61.3,,,
8167-GJLRN,2025-05-13,Male,19,No,0,4,Joined,3108,0,3,No Offer,No,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-Month,Bank Withdrawal,30.4,82.15,,,
6168-YBYNP,2020-09-01,Male,19,No,0,5,Stayed,6047,0,59,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,111.35,9358.83,,,
4111-BNXIF,2020-01-06,Female,19,Yes,0,4,Stayed,4478,1,67,No Offer,No,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,59.55,4103.9,,,
3482-ABPKK,2023-04-21,Female,19,No,0,3,Stayed,5271,0,28,Offer C,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,One Year,Credit Card,54.3,2492.06,,,
7343-EOBEU,2025-05-14,Male,19,Yes,0,5,Joined,5587,9,3,Offer E,Yes,Yes,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,23.6,131.35,,,
7319-VENRZ,2025-01-14,Male,19,No,0,4,Stayed,4010,0,7,Offer E,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,64.3,668.83,,,
5846-NEQVZ,2019-09-05,Male,19,Yes,0,4,Stayed,5328,3,71,No Offer,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Two Year,Credit Card,70.85,5145.93,,,
0459-SPZHJ,2020-05-17,Male,19,Yes,0,4,Stayed,4652,1,63,No Offer,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two Year,Credit Card,83.5,6282.35,,,
0078-XZMHT,2019-08-10,Male,19,Yes,0,3,Stayed,6322,5,72,No Offer,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,85.15,8646.12,,,
7596-ZYWBB,2020-03-06,Female,19,No,0,4,Stayed,4372,0,65,Offer B,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Two Year,Mailed Check,59.6,6673.65,,,
6647-ZEDXT,2023-02-15,Female,19,No,0,4,Stayed,4983,0,30,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,110.45,3721.85,,,
0139-IVFJG,2025-06-12,Female,19,Yes,0,3,Joined,5361,10,2,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-Month,Bank Withdrawal,90.35,199.8,,,
5170-PTRKA,2021-07-22,Female,19,Yes,0,4,Stayed,4865,1,49,No Offer,No,No,Yes,Cable,Yes,No,No,Yes,No,No,One Year,Credit Card,35.8,1782.0,,,
1051-GEJLJ,2025-06-05,Female,19,No,0,5,Joined,4836,0,2,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Mailed Check,19.5,81.89,,,
2545-LXYVJ,2019-08-21,Male,19,Yes,0,3,Stayed,6317,1,72,Offer A,Yes,No,No,,No,No,No,No,No,No,Two Year,Bank Withdrawal,20.7,3055.94,,,
2446-ZKVAF,2024-02-19,Male,19,Yes,0,5,Stayed,5558,5,18,No Offer,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-Month,Credit Card,56.8,1097.69,,,
7537-RBWEA,2025-07-12,Female,19,No,0,5,Joined,3513,0,1,No Offer,No,No,Yes,Cable,No,No,No,No,No,No,Month-to-Month,Credit Card,25.15,25.15,,,
5678-VFNEQ,2019-09-23,Female,19,Yes,0,4,Stayed,4695,8,71,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,One Year,Credit Card,104.1,7723.94,,,
3195-TQDZX,2025-05-10,Male,19,No,0,5,Joined,4050,0,3,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,20.25,66.16,,,
1769-GRUIK,2024-02-18,Female,19,No,0,5,Stayed,4911,0,18,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,71.1,1447.43,,,
9964-WBQDJ,2019-09-02,Female,19,Yes,0,5,Stayed,4412,1,71,Offer A,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,24.4,3480.52,,,
3768-VHXQO,2020-01-05,Male,19,Yes,0,4,Stayed,4833,9,67,Offer A,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,24.85,1803.26,,,
7228-PAQPD,2024-06-06,Female,19,No,0,4,Stayed,5718,0,14,Offer D,Yes,No,Yes,Cable,No,No,No,Yes,No,Yes,One Year,Credit Card,59.1,1248.99,,,
0842-IWYCP,2021-10-03,Female,19,No,0,5,Stayed,2626,0,46,No Offer,Yes,No,Yes,Cable,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,44.95,4023.62,,,
0248-IPDFW,2025-07-13,Female,19,No,0,4,Joined,5617,0,1,No Offer,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,50.1,79.23,,,
6296-DDOOR,2024-01-13,Female,19,No,0,4,Stayed,4033,0,19,No Offer,Yes,No,Yes,Cable,No,Yes,No,No,Yes,No,One Year,Bank Withdrawal,58.2,1507.9,,,
3126-WQMGH,2021-07-01,Female,19,Yes,0,4,Stayed,5224,6,49,No Offer,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,52.15,4026.33,,,
3893-JRNFS,2019-12-05,Male,19,No,0,4,Stayed,6270,0,68,No Offer,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,39.9,2796.35,,,
1215-VFYVK,2025-04-18,Female,19,No,0,3,Stayed,2682,0,4,Offer E,No,No,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Mailed Check,48.25,212.25,,,
4770-UEZOX,2025-06-05,Male,19,No,0,3,Joined,4545,0,2,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,74.75,231.92,,,
1777-JYQPJ,2025-06-10,Male,19,No,0,4,Joined,2515,0,2,Offer E,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Mailed Check,24.3,38.45,,,
3181-VTHOE,2019-10-11,Male,19,Yes,0,4,Stayed,4042,10,70,No Offer,No,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One Year,Bank Withdrawal,51.05,3755.15,,,
2452-SNHFZ,2021-09-18,Female,19,No,0,4,Stayed,4995,0,47,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Credit Card,75.45,5802.51,,,
3629-WEAAM,2024-12-15,Female,19,No,0,5,Stayed,2804,0,8,No Offer,Yes,No,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-Month,Mailed Check,64.1,874.37,,,
3665-JATSN,2024-01-18,Female,19,No,0,5,Stayed,4034,0,19,No Offer,No,No,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,39.7,820.05,,,
2696-RZVZW,2019-12-12,Male,19,Yes,0,5,Stayed,4187,4,68,Offer A,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,25.05,3342.12,,,
5950-AAAGJ,2024-02-16,Male,19,No,0,3,Stayed,4612,0,18,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,84.3,1578.58,,,
4682-BLBUC,2021-12-23,Male,19,Yes,0,5,Stayed,3678,1,44,No Offer,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One Year,Bank Withdrawal,70.95,4528.37,,,
2623-DRYAM,2019-10-16,Female,19,Yes,0,3,Stayed,5596,0,70,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Bank Withdrawal,101.75,8460.9,,,
2103-ZRXFN,2025-07-20,Male,19,No,0,4,Joined,3631,0,1,No Offer,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,50.75,75.41,,,
